Gender,Age_Group,Marital_Status,Income_Level,Time_of_Day,Day,Location,Cuisine_Type
Female,45-54,Widowed,Low,Breakfast,Wednesday,Bhavanipuram,South Indian
Other,25-34,Widowed,Upper-Middle,Breakfast,Friday,Auto Nagar,South Indian
Other,35-44,Married,Low,Late Night,Thursday,Poranki,Bakery
Male,45-54,Single,Middle,Late Night,Friday,Ramachandra Nagar,Fast Food
Male,55-64,Married,Upper-Middle,Dinner,Thursday,One Town,Street Food
Male,35-44,Widowed,Middle,Dinner,Saturday,Auto Nagar,Biryani
Other,55-64,Married,Low,Breakfast,Tuesday,Benz Circle,Bakery
Female,55-64,Widowed,Middle,Dinner,Thursday,Governorpet,South Indian
Male,18-24,Married,High,Snack,Sunday,One Town,Street Food
Female,35-44,Widowed,Upper-Middle,Breakfast,Monday,Gunadala,South Indian
Male,18-24,Widowed,Upper-Middle,Snack,Tuesday,Patamata,Continental
Other,55-64,Married,High,Late Night,Friday,Gunadala,South Indian
Male,18-24,Divorced,Upper-Middle,Dinner,Tuesday,Poranki,Biryani
Male,25-34,Single,High,Snack,Wednesday,Ramachandra Nagar,Street Food
Other,35-44,Married,Low,Snack,Thursday,MG Road,Biryani
Male,35-44,Single,Upper-Middle,Snack,Wednesday,Governorpet,South Indian
Male,25-34,Divorced,Middle,Dinner,Sunday,Poranki,Biryani
Other,25-34,Married,Middle,Snack,Tuesday,Auto Nagar,North Indian
Female,25-34,Single,High,Lunch,Tuesday,Auto Nagar,Biryani
Male,25-34,Single,Middle,Breakfast,Wednesday,MG Road,Chinese
Male,45-54,Married,High,Lunch,Wednesday,Governorpet,Biryani
Other,18-24,Married,Low,Late Night,Thursday,Bhavanipuram,Biryani
Other,55-64,Single,Low,Lunch,Thursday,Ramachandra Nagar,North Indian
Male,55-64,Single,Middle,Snack,Tuesday,Patamata,Continental
Female,25-34,Single,Upper-Middle,Snack,Saturday,Auto Nagar,Street Food
Male,35-44,Married,Middle,Dinner,Wednesday,Poranki,Bakery
Other,18-24,Married,Upper-Middle,Late Night,Tuesday,Auto Nagar,Fast Food
Male,55-64,Single,High,Dinner,Monday,Governorpet,South Indian
Other,18-24,Married,Low,Snack,Wednesday,Ramachandra Nagar,Street Food
Female,55-64,Married,Upper-Middle,Breakfast,Tuesday,Bhavanipuram,Biryani
Other,55-64,Divorced,Middle,Late Night,Friday,Bhavanipuram,Biryani
Male,18-24,Widowed,High,Dinner,Tuesday,Bhavanipuram,Biryani
Male,18-24,Single,Upper-Middle,Snack,Monday,Patamata,Street Food
Male,55-64,Single,Middle,Dinner,Monday,Bhavanipuram,Biryani
Other,18-24,Divorced,High,Lunch,Saturday,One Town,Street Food
Other,55-64,Married,Low,Lunch,Sunday,Patamata,Continental
Other,25-34,Widowed,Low,Lunch,Saturday,Patamata,Continental
Male,55-64,Divorced,Upper-Middle,Lunch,Saturday,Gunadala,South Indian
Other,25-34,Married,Low,Late Night,Wednesday,One Town,Fast Food
Other,45-54,Widowed,Low,Dinner,Sunday,Benz Circle,Biryani
Female,45-54,Widowed,High,Snack,Friday,Poranki,Street Food
Male,55-64,Single,Upper-Middle,Breakfast,Wednesday,Patamata,South Indian
Male,55-64,Divorced,Middle,Late Night,Saturday,Bhavanipuram,Biryani
Other,18-24,Single,Middle,Dinner,Friday,Governorpet,Biryani
Female,18-24,Married,Middle,Lunch,Tuesday,Poranki,Bakery
Other,18-24,Married,Low,Snack,Sunday,Benz Circle,Fast Food
Female,18-24,Married,Middle,Snack,Tuesday,Patamata,South Indian
Other,45-54,Single,Upper-Middle,Late Night,Friday,Poranki,Bakery
Female,55-64,Married,Upper-Middle,Late Night,Tuesday,Poranki,Bakery
Female,35-44,Divorced,High,Snack,Monday,Poranki,Bakery
Female,25-34,Married,Middle,Dinner,Sunday,Poranki,Biryani
Female,55-64,Divorced,Low,Breakfast,Friday,Ramachandra Nagar,North Indian
Female,55-64,Divorced,Low,Late Night,Wednesday,Gunadala,Continental
Other,25-34,Single,Middle,Lunch,Monday,Poranki,Bakery
Female,25-34,Divorced,Middle,Lunch,Thursday,Ramachandra Nagar,Biryani
Male,18-24,Single,Upper-Middle,Snack,Sunday,Gunadala,South Indian
Female,18-24,Married,Middle,Snack,Wednesday,Bhavanipuram,Biryani
Other,45-54,Married,Middle,Breakfast,Monday,One Town,Street Food
Female,55-64,Widowed,Upper-Middle,Late Night,Monday,Poranki,Bakery
Male,25-34,Widowed,High,Breakfast,Friday,Auto Nagar,South Indian
Male,55-64,Widowed,Upper-Middle,Snack,Friday,Auto Nagar,Biryani
Other,35-44,Widowed,Low,Dinner,Monday,Gunadala,South Indian
Female,45-54,Divorced,Low,Late Night,Wednesday,Auto Nagar,Fast Food
Male,45-54,Divorced,Upper-Middle,Dinner,Sunday,One Town,Street Food
Female,45-54,Widowed,Low,Snack,Thursday,Governorpet,Chinese
Male,18-24,Single,Upper-Middle,Snack,Saturday,Bhavanipuram,Biryani
Other,35-44,Married,Low,Snack,Thursday,Poranki,Bakery
Male,18-24,Married,Upper-Middle,Dinner,Monday,Ramachandra Nagar,North Indian
Female,18-24,Divorced,Middle,Lunch,Thursday,Benz Circle,Fast Food
Female,25-34,Married,High,Breakfast,Saturday,Poranki,Bakery
Other,35-44,Widowed,Middle,Dinner,Friday,Governorpet,South Indian
Other,18-24,Single,High,Snack,Sunday,Bhavanipuram,Biryani
Male,35-44,Widowed,Middle,Dinner,Friday,Bhavanipuram,Biryani
Male,45-54,Widowed,Upper-Middle,Late Night,Monday,Benz Circle,Fast Food
Female,55-64,Married,Middle,Breakfast,Tuesday,MG Road,Chinese
Other,18-24,Married,Middle,Dinner,Saturday,Governorpet,South Indian
Male,25-34,Married,Middle,Breakfast,Monday,Poranki,Bakery
Other,25-34,Single,Low,Snack,Sunday,Gunadala,South Indian
Female,55-64,Widowed,Low,Snack,Friday,Auto Nagar,Biryani
Other,55-64,Divorced,Low,Breakfast,Tuesday,Poranki,Bakery
Other,35-44,Widowed,High,Lunch,Monday,Governorpet,South Indian
Other,25-34,Married,Middle,Late Night,Tuesday,Poranki,Bakery
Other,45-54,Divorced,Low,Lunch,Monday,Auto Nagar,Biryani
Female,55-64,Widowed,Middle,Dinner,Wednesday,Patamata,Biryani
